Dept,Code,Title
CS,100,Principles of Computing
CS,105,Computer Ethics and Society
CS,108,"Intro to Computer Programming, Part A"
CS,109,"Intro to Computer Programming, Part B"
CS,110,Essentials of Computer Science
CS,112,Introduction to Computer Programming
CS,211,Object-Oriented Programming
CS,222,Computer Programming for Engineers
CS,262,Introduction to Low-Level Programming
CS,306,Synthesis of Ethics and Law for the Computing Professional
CS,310,Data Structures
CS,321,Software Engineering
CS,325,Introduction to Game Design
CS,330,Formal Methods and Models
CS,351,Visual Computing
CS,367,Computer Systems and Programming
CS,390,Research and Project Design Principles in Computing
CS,391,Advanced Programming Lab
CS,395,Student Initiated Special Topics
CS,399,Special Topics
CS,405,Synthesis of Ethics and Law for the Computing Professional
CS,425,Game Programming I
CS,426,Game Programming II
CS,440,Compilers
CS,450,Database Concepts
CS,451,Computer Graphics
CS,452,Virtual Reality
CS,455,Computer Communications and Networking
CS,463,Comparative Programming Languages
CS,465,Computer Systems Architecture
CS,468,Secure Programming and Systems
CS,469,Security Engineering
CS,471,Operating Systems
CS,475,Concurrent and Distributed Systems
CS,477,Mobile Application Development
CS,478,Natural Language Processing
CS,480,Introduction to Artificial Intelligence
CS,482,Computer Vision
CS,483,Analysis of Algorithms
CS,484,Data Mining
CS,485,Autonomous Robotics
CS,487,Introduction to Cryptography
CS,490,Design Exhibition
CS,491,Industry-Sponsored Senior Design Project
CS,498,Independent Study in Computer Science
CS,499,Special Topics in Computer Science
CS,500,Special Topics
CS,504,Principles of Data Management and Mining
CS,530,Mathematical Foundations of Computer Science
CS,531,Computer Systems and Fundamentals of Systems Programming
CS,540,Compilers
CS,550,Database Systems
CS,551,Computer Graphics
CS,555,Computer Communications and Networking
CS,571,Operating Systems
CS,580,Introduction to Artificial Intelligence
CS,583,Analysis of Algorithms
CS,584,Theory and Applications of Data Mining
CS,587,Introduction to Cryptography
CS,588,Machine Learning
CS,590,Special Topics
CS,595,Basic Topics in Computer Science
CS,600,Theory of Computation
CS,630,Advanced Algorithms
CS,688,Machine Learning
CS,690,Special Topics in AI and Databases
CS,695,Special Topics in Computer Science
CS,700,Research Methodology in Computer Science
CS,747,Deep Learning
CS,787,Decision Guidance Systems
CS,795,Advanced Topics in CS
CS,798,Research Project
CS,799,MS Thesis
CS,998,Doctoral Dissertation Proposal
CS,999,Doctoral Dissertation
BENG,100,Bioengineering and Society
BENG,101,Introduction to Bioengineering
BENG,214,Physiology for Engineers
BENG,230,Continuum Biomechanics and Transport I
BENG,240,Biomaterials
BENG,241,Biomechanics and Biomaterials Laboratory
BENG,314,Pathophysiology and the Role of New Technologies in Human Diseases
BENG,320,Bioengineering Signals and Systems
BENG,322,Health Data Challenges
BENG,327,"Cellular, Neurophysiological, and Pharmacological Neuroscience"
BENG,330,Computational Methods in Bioengineering
BENG,331,Computational Methods in Bioengineering Laboratory
BENG,350,Neural System Designs
BENG,360,Biomedical Imaging
BENG,370,Bioinstrumentation and Devices I
BENG,371,Bioinstrumentation and Devices Laboratory
BENG,375,"Intellectual Property, Regulatory Concepts and Product Development"
BENG,391,Bioengineering Professional Development
BENG,394,Bioengineering Internship Experience
BENG,395,RS: Mentored Research in Bioengineering
BENG,413,Molecular Engineering Laboratory
BENG,415,Biomanufacturing
BENG,417,Bioengineering World Health
BENG,420,Biomedical Data Analytics
BENG,421,Cell and Tissue Engineering
BENG,426,Neural Engineering
BENG,430,Continuum Biomechanics and Biotransport II
BENG,434,Computational Modelling of Neurons and Networks
BENG,435,Multi-scale Modeling and Simulation in Biomedicine
BENG,437,Medical Image Processing
BENG,438,Advanced Biomedical Imaging
BENG,440,Advanced Biomaterials and Biomimetic Devices for Nanomedicine
BENG,470,Bioinstrumentation and Devices II
BENG,487,Neuroinformatics
BENG,492,Senior Advanced Design Project I
BENG,493,RS: Senior Advanced Design Project II
BENG,499,Special Topics in Bioengineering
BENG,500,Special Topics
BENG,501,Bioengineering Research Methods
BENG,514,Pathophysiology and the Role of New Technologies in Human Diseases
BENG,520,Biomedical Data Analytics
BENG,521,Cell and Tissue Engineering
BENG,526,Neural Engineering
BENG,530,Continuum Biomechanics and Biotransport II
BENG,535,Multi-Scale Modeling and Simulation in Biomedicine
BENG,537,Medical Image Processing
BENG,538,Medical Imaging
BENG,540,Advanced Biomaterials and Biomimetic Devices for Nanomedicine
BENG,541,Biomaterials
BENG,550,Advanced Biomechanics
BENG,551,Translational Bioengineering
BENG,570,Bioinstrumentation and Devices II
BENG,575,"Intellectual Property, Regulatory Concepts and Product Development"
BENG,590,Selected Topics in Bioengineering
BENG,600,Bioengineering Seminar
BENG,601,Collaborative Bioengineering Basic Science Research
BENG,602,Collaborative Bioengineering Clinical Science Research
BENG,615,Biomanufacturing
BENG,641,Advanced Nanotechnology in Health
BENG,699,Advanced Topics in Bioengineering
BENG,703,Laboratory Rotations in Biomaterials and Nanomedicine
BENG,704,Laboratory Rotations in Biomedical Imaging and Devices
BENG,705,Laboratory Rotations in Computational Biomedical Engineering
BENG,706,Laboratory Rotations in Neurotechnology and Computational Neuroscience
BENG,725,Computational Motor Control
BENG,738,Advanced Medical Image Processing
BENG,797,Graduate Practicum
BENG,798,Independent Reading and Research in Bioengineering
BENG,799,Master's Thesis
BENG,800,Bioengineering Colloquium
BENG,801,Bioengineering Colloquium II
BENG,998,Doctoral Dissertation Proposal
BENG,999,Doctoral Dissertation
CEIE,100,Environmental Issues and Solutions Around the World
CEIE,101,Introduction to Civil Engineering
CEIE,203,Geomatics and Engineering Graphics
CEIE,210,Statics
CEIE,240,Hydraulics
CEIE,241,Hydraulics
CEIE,242,Hydraulics Laboratory
CEIE,301,Engineering and Economic Models in Civil Engineering
CEIE,310,Mechanics of Materials
CEIE,311,Structural Analysis
CEIE,331,Soil Mechanics
CEIE,332,Soil Mechanics
CEIE,333,Soil Mechanics Lab
CEIE,340,Water Resource Engineering
CEIE,355,Environmental Engineering and Science
CEIE,360,Introduction to Transportation Engineering
CEIE,370,Construction Systems
CEIE,395,Mentored Research in Civil and Environmental Engineering
CEIE,401,Sustainable Land Development
CEIE,402,Highway Design and Construction
CEIE,403,Experimental Methods in Civil Engineering
CEIE,409,Professional Practice and Management in Engineering
CEIE,412,Structural Steel Design
CEIE,413,Reinforced Concrete Design
CEIE,414,Structural Modeling for Engineers
CEIE,432,Foundation Design
CEIE,435,Engineering Geology
CEIE,440,Water Supply and Distribution
CEIE,441,Engineering for Climate Adaptation
CEIE,442,Open Channel Flow
CEIE,444,Water Resources Planning and Design
CEIE,445,Flood Hazards Engineering and Adaptation
CEIE,450,Environmental Engineering Systems
CEIE,451,Air Pollution Formation and Control
CEIE,452,Climate Change Engineering and Policy
CEIE,453,Water and Wastewater Treatment Processes
CEIE,454,Water and Sanitation in Low-income Communities
CEIE,457,Remote Sensing in Civil Engineering
CEIE,461,Traffic Engineering
CEIE,462,Urban Transportation Planning
CEIE,471,Construction Administration
CEIE,472,Building Information Modeling
CEIE,473,Legal Aspects of the Construction Process
CEIE,474,Construction Computer Application and Informatics
CEIE,476,Construction Cost Estimating
CEIE,477,Construction Safety and Risk Management
CEIE,478,Construction Planning and Scheduling
CEIE,490,Civil Engineering Senior Design Project I
CEIE,491,Civil Engineering Senior Design Project II
CEIE,498,Independent Study in Civil Engineering
CEIE,499,Special Topics in Civil Engineering
ECE,101,Introduction to Electrical and Computer Engineering
ECE,201,Introduction to Signals and Systems
ECE,231,Digital System Design
ECE,232,Digital System Design Lab
ECE,240,C Programming for Engineers
ECE,285,Electric Circuit Analysis I
ECE,286,Electric Circuit Analysis II
ECE,301,Digital Electronics
ECE,305,Electromagnetic Theory
ECE,311,"Energy Infrastructure, Market, and Management"
ECE,321,Continuous-Time Signals and Systems
ECE,330,Circuit Theory
ECE,333,Linear Electronics I
ECE,334,Linear Electronics Lab I
ECE,340,Data Structures and Systems Programming in C
ECE,350,Embedded Systems and Hardware Interfaces
ECE,370,Introduction to Robotics
ECE,390,Engineering Design and Fabrication
ECE,391,Professional Development for Engineers
ECE,395,Electrical and Computer Engineering Internship
ECE,408,Small Modular Reactor Simulation Lab
ECE,409,Data Center Engineering
